Move;Type;German;French;Spanish;Italian;Japanese;Korean;Chinese;Chinese 2
Psyshield Bash;Psychic;Barrierenstoß;Sprint Bouclier;Asalto Barrera;Barrierassalto;バリアーラッシュ;배리어러시;屏障猛攻;屏障猛攻
Power Shift;Normal;Kraftwechsel;Échange Force;Cambiapoder;Scambioforza;パワーシフト;파워시프트;力量转换;力量轉換
Stone Axe;Rock;Felsaxt;Hache de Pierre;Hachazo Pétreo;Rocciascure;がんせきアックス;암석액스;岩斧;岩斧
Springtide Storm;Fairy;Frühlingsorkan;Typhon Passionné;Ciclón Primavera;Tempesta Zefirea;はるのあらし;봄의폭풍;阳春风暴;陽春風暴
Mystical Power;Psychic;Mythenkraft;Force Mystique;Poder Místico;Forza Mistica;しんぴのちから;신비의힘;神秘之力;神秘之力
Raging Fury;Fire;Flammenwut;Grand Courroux;Erupción de Ira;Ira Furente;だいふんげき;대격분;大愤慨;大憤慨
Wave Crash;Water;Wellentackle;Aquatacle;Envite Acuático;Ondaschianto;ウェーブタックル;웨이브태클;波动冲;波動衝
Chloroblast;Grass;Chlorostrahl;Herblast;Clorofiláser;Clorofillaser;クロロブラスト;클로로블라스트;叶绿爆震;葉綠爆震
Mountain Gale;Ice;Frostfallwind;Bise Glaciaire;Viento Carámbano;Soffio d'Iceberg;ひょうざんおろし;빙산바람;冰山风;冰山風
Victory Dance;Fighting;Siegestanz;Danse Victoire;Danza Triunfal;Danzavittoria;しょうりのまい;승리의춤;胜利之舞;勝利之舞
Headlong Rush;Ground;Schmetterramme;Assaut Frontal;Arremetida;Scontro Frontale;ぶちかまし;들이받기;突飞猛扑;突飛猛撲
Barb Barrage;Poison;Giftstachelregen;Multitoxik;Mil Púas Tóxicas;Mille Fielespine;どくばりセンボン;독침천발;毒千针;毒千針
Esper Wing;Psychic;Auraschwingen;Ailes Psycho;Ala Aural;Ali d'Aura;オーラウイング;오라윙;气场之翼;氣場之翼
Bitter Malice;Ghost;Niedertracht;Cœur de Rancœur;Rencor Reprimido;Livore;うらみつらみ;천추지한;冤冤相报;冤冤相報
Shelter;Steel;Refugium;Mur Fumigène;Retracción;Barricata;たてこもる;농성;闭关;閉關
Triple Arrows;Fighting;Drillingspfeile;Triple Flèche;Triple Flecha;Triplodardo;３ぼんのや;3연화살;三连箭;三連箭
Infernal Parade;Ghost;Phantomparade;Cortège Funèbre;Marcha Espectral;Corteo Spettrale;ひゃっきやこう;백귀야행;群魔乱舞;群魔亂舞
Ceaseless Edge;Dark;Klingenschwall;Vagues à Lames;Tajo Metralla;Lama Milleflutti;ひけん・ちえなみ;비검천중파;秘剑・千重涛;秘劍・千重濤
Bleakwind Storm;Flying;Polarorkan;Typhon Hivernal;Vendaval Gélido;Tempesta Boreale;こがらしあらし;찬바람폭풍;枯叶风暴;枯葉風暴
Wildbolt Storm;Electric;Donnerorkan;Typhon Fulgurant;Electormenta;Tempesta Tonante;かみなりあらし;번개폭풍;鸣雷风暴;鳴雷風暴
Sandsear Storm;Ground;Wüstenorkan;Typhon Pyrosable;Simún de Arena;Tempesta Ardente;ねっさのあらし;열사의폭풍;热沙风暴;熱沙風暴
Lunar Blessing;Psychic;Lunargebet;Prière Lunaire;Plegaria Lunar;Invocaluna;みかづきのいのり;초승달의기도;新月祈祷;新月祈禱
Take Heart;Psychic;Mutschub;Extravaillance;Bálsamo Osado;Baldimpulso;ブレイブチャージ;브레이브차지;勇气填充;勇氣填充
Tera Blast;Normal;Tera-Ausbruch;Téra Explosion;Teraexplosión;Terascoppio;テラバースト;테라버스트;太晶爆发;太晶爆發
Silk Trap;Bug;Fadenfalle;Piège de Fil;Telatrampa;Telatrappola;スレッドトラップ;스레드트랩;线阱;線阱
Axe Kick;Fighting;Fersenkick;Talon-Marteau;Patada Hacha;Calcio ad Ascia;かかとおとし;발꿈치찍기;下压踢;下壓踢
Last Respects;Ghost;Letzte Ehre;Hommage Posthume;Homenaje Póstumo;Omaggio ai KO;おはかまいり;성묘;扫墓;掃墓
Lumina Crash;Psychic;Lichteinschlag;Lumino-Impact;Fotocolisión;Fotocollisione;ルミナコリジョン;루미나콜리전;琉光冲激;琉光衝激
Order Up;Dragon;Auftischen;Plat du Jour;Oído Cocina;Alta Cucina;いっちょうあがり;한판내기;上菜;上菜
Jet Punch;Water;Düsenhieb;Poing Sonique;Puño Jet;Pugnojet;ジェットパンチ;제트펀치;喷射拳;噴射拳
Spicy Extract;Grass;Chili-Essenz;Habanerage;Extracto Picante;Essenza Piccante;ハバネロエキス;하바네로엑기스;辣椒精华;辣椒精華
Spin Out;Steel;Reifendrehung;Dérapage;Quemarrueda;Slittaruote;ホイールスピン;휠스핀;疾速转轮;疾速轉輪
Population Bomb;Normal;Mäuseplage;Prolifération;Proliferación;Infestazione;ネズミざん;찍찍베기;鼠数儿;鼠數兒
Ice Spinner;Ice;Eiskreisel;Cryo-Pirouette;Pirueta Helada;Vortighiaccio;アイススピナー;아이스스피너;冰旋;冰旋
Glaive Rush;Dragon;Großklingenstoß;Charge Glaive;Asalto Espadón;Spadoncarica;きょけんとつげき;대검돌격;巨剑突击;巨劍突擊
Revival Blessing;Normal;Vitalsegen;Second Souffle;Plegaria Vital;Preghiera Vitale;さいきのいのり;회생의기도;复生祈祷;復生祈禱
Salt Cure;Rock;Pökelsalz;Salaison;Salazón;Sotto Sale;しおづけ;소금절이;盐腌;鹽醃
Triple Dive;Water;Tauchtriade;Triple Plongeon;Triple Inmersión;Triplo Tuffo;トリプルダイブ;트리플다이브;三连钻;三連鑽
Mortal Spin;Poison;Letalwirbler;Toupie Éclat;Giro Mortífero;Glitturbine;キラースピン;킬러스핀;晶光转转;晶光轉轉
Doodle;Normal;Abpausen;Décalquage;Decalcomanía;Ricalco;うつしえ;베껴그리기;描绘;描繪
Fillet Away;Normal;Abspaltung;Décharnement;Deslome;Alleggerimento;みをけずる;제살깎기;甩肉;甩肉
Kowtow Cleave;Dark;Kniefallspalter;Génusection;Genufendiente;Genufendente;ドゲザン;도각참;仆刀;仆斬
Flower Trick;Grass;Blumentrick;Magie Florale;Truco Floral;Prestigiafiore;トリックフラワー;트릭플라워;千变万花;千變萬花
Torch Song;Fire;Loderlied;Chant Flamboyant;Canto Ardiente;Canzone Ardente;フレアソング;플레어송;闪焰高歌;閃焰高歌
Aqua Step;Water;Wogentanz;Danse Aquatique;Danza Acuática;Idroballetto;アクアステップ;아쿠아스텝;流水旋舞;流水旋舞
Raging Bull;Normal;Rasender Stier;Taurogne;Furia Taurina;Scatenatoro;レイジングブル;레이징불;怒牛;怒牛
Make It Rain;Steel;Goldrausch;Ruée d'Or;Fiebre Dorada;Corsa all'Oro;ゴールドラッシュ;골드러시;淘金潮;淘金潮
Psyblade;Psychic;Psychoschneide;Lame Psychique;Psicohojas;Psicolama;サイコブレイド;사이코블레이드;精神剑;精神劍
Hydro Steam;Water;Hydrodampf;Hydrovapeur;Hidrovapor;Idrovapore;ハイドロスチーム;하이드로스팀;水蒸气;水蒸氣
Ruination;Dark;Verderben;Cataclysme;Calamidad;Catastrofe;カタストロフィ;카타스트로피;大灾难;大災難
Collision Course;Fighting;Kollisionskurs;Nitro Crash;Nitrochoque;Turboschianto;アクセルブレイク;액셀브레이크;全开猛撞;全開猛撞
Electro Drift;Electric;Blitztour;Turbo Volt;Electroderrape;Fulmiscatto;イナズマドライブ;라이트닝드라이브;闪电猛冲;閃電猛衝
Shed Tail;Normal;Schwanzabwurf;Queulonage;Autotomía;Tagliacoda;しっぽきり;꼬리자르기;断尾;斷尾
Chilly Reception;Ice;Eisige Stimmung;Neigeux de Mots;Fría Acogida;Freddura;さむいギャグ;썰렁개그;冷笑话;冷笑話
Tidy Up;Normal;Aufräumen;Grand Nettoyage;Limpieza General;Pulizie;おかたづけ;정리정돈;大扫除;大掃除
Snowscape;Ice;Schneelandschaft;Chute de Neige;Paisaje Nevado;Vista Innevata;ゆきげしき;설경;雪景;雪景
Pounce;Bug;Anspringen;Bond;Brinco;Balzo;とびつく;달려들기;虫扑;蟲撲
Trailblaze;Grass;Wegbereiter;Désherbaffe;Abrecaminos;Apripista;くさわけ;개척하기;起草;起草
Chilling Water;Water;Kalte Dusche;Douche Froide;Agua Fría;Doccia Fredda;ひやみず;찬물끼얹기;泼冷水;潑冷水
Hyper Drill;Normal;Hyperbohrer;Hyperceuse;Hipertaladro;Ipertrapano;ハイパードリル;하이퍼드릴;强力钻;強力鑽
Twin Beam;Psychic;Doppelstrahl;Double Laser;Láser Doble;Doppioraggio;ツインビーム;트윈빔;双光束;雙光束
Rage Fist;Ghost;Zornesfaust;Poing de Colère;Puño Furia;Pugno Furibondo;ふんどのこぶし;분노의주먹;愤怒之拳;憤怒之拳
Armor Cannon;Fire;Rüstungskanone;Canon Blindé;Cañón Armadura;Corazza Cannone;アーマーキャノン;아머캐논;铠农炮;鎧農炮
Bitter Blade;Fire;Reueschwert;Lame en Peine;Espada Lamento;Lama del Rimorso;むねんのつるぎ;원념의칼;悔念剑;悔念劍
Double Shock;Electric;Zweifachladung;Double Décharge;Electropalmas;Doppiolampo;でんこうそうげき;전광쌍격;电光双击;電光雙擊
Gigaton Hammer;Steel;Riesenhammer;Marteau Mastoc;Martillo Colosal;Granmartello;デカハンマー;거대해머;巨力锤;巨力錘
Comeuppance;Dark;Vendetta;Vindicte;Resarcimiento;Ritorsione;ほうふく;앙갚음;复仇;復仇
Aqua Cutter;Water;Aquaschnitt;Tranch'Aqua;Tajo Acuático;Idrotaglio;アクアカッター;아쿠아커터;水波刀;水波刀
Blazing Torque;Fire;Hitzeturbo;Crash Brûlant;Pirochoque;Turboustione;バーンアクセル;번액셀;灼热暴冲;灼熱暴衝
Wicked Torque;Dark;Finsterturbo;Crash Obscur;Ominochoque;Turbotenebra;ダークアクセル;다크액셀;黑暗暴冲;黑暗暴衝
Noxious Torque;Poison;Toxiturbo;Crash Toxique;Ponzochoque;Turbotossina;ポイズンアクセル;포이즌액셀;剧毒暴冲;劇毒暴衝
Combat Torque;Fighting;Raufturbo;Crash Musclé;Pugnachoque;Turborissa;ファイトアクセル;파이트액셀;格斗暴冲;格鬥暴衝
Magical Torque;Fairy;Zauberturbo;Crash Magique;Feerichoque;Turboincanto;マジカルアクセル;매지컬액셀;魔法暴冲;魔法暴衝
Blood Moon;Normal;Blutmond;Lune Rouge;Luna Roja;Luna Rossa;ブラッドムーン;블러드문;血月;血月
Matcha Gotcha;Grass;Quirlschuss;Mortier Matcha;Cañón Batidor;Spruzzatè;シャカシャカほう;휘적휘적포;刷刷茶炮;刷刷茶炮
Syrup Bomb;Grass;Sirupbombe;Bombe au Sirop;Bomba Caramelo;Bomba Sciroppata;みずあめボム;시럽봄;糖浆炸弹;糖漿炸彈
Ivy Cudgel;Grass;Rankenkeule;Massue Liane;Garrote Liana;Clava di Liane;ツタこんぼう;덩굴방망이;棘藤棒;棘藤棒
Electro Shot;Electric;;;;;;;;
Thunderclap;Electric;;;;;;;;
Tachyon Cutter;Steel;;;;;;;;
Upper Hand;Fighting;;;;;;;;
Psychic Noise;Psychic;;;;;;;;
